date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
18/09/2007,139.05,142.85,137.83,140.92,37911256,0.322,1.81%,18.0592,N/A,N/A
19/09/2007,143.02,143.16,139.4,140.7699,36621395,-0.019,-0.11%,18.04,N/A,N/A
20/09/2007,140.15,141.79,139.32,140.31,24571365,-0.059,-0.33%,17.9811,N/A,N/A
21/09/2007,141.14,144.65,140.31,144.15,40618973,0.492,2.74%,18.4732,N/A,N/A
24/09/2007,146.73,149.85,146.65,148.28,37445534,0.529,2.87%,19.0024,N/A,N/A
25/09/2007,146.84,153.22,146.82,153.18,42432116,0.628,3.30%,19.6304,N/A,N/A
26/09/2007,154.47,155,151.25,152.77,34708127,-0.053,-0.27%,19.5778,N/A,N/A
27/09/2007,153.77,154.52,152.32,154.5,23423984,0.222,1.13%,19.7995,N/A,N/A
28/09/2007,153.44,154.6,152.75,153.47,21909563,-0.132,-0.67%,19.6675,N/A,N/A
01/10/2007,154.63,157.41,152.93,156.339,29823281,0.368,1.87%,20.0352,N/A,N/A
02/10/2007,156.55,158.59,155.89,158.45,28239365,0.271,1.35%,20.3057,N/A,N/A
03/10/2007,157.78,159.18,157.01,157.9201,24691048,-0.068,-0.33%,20.2378,N/A,N/A
04/10/2007,158,158.08,153.5,156.24,23394970,-0.215,-1.06%,20.0225,N/A,N/A
05/10/2007,158.36,161.58,157.7,161.4499,33440168,0.668,3.33%,20.6902,N/A,N/A
08/10/2007,163.49,167.91,162.97,167.91,29791115,0.828,4.00%,21.5181,N/A,N/A
09/10/2007,170.2,171.11,166.68,167.86,39408730,-0.006,-0.03%,21.5117,N/A,N/A
10/10/2007,167.55,167.88,165.6,166.79,23775298,-0.137,-0.64%,21.3745,N/A,N/A
11/10/2007,169.49,171.88,153.21,162.23,58282435,-0.584,-2.73%,20.7902,N/A,N/A
12/10/2007,163.01,167.28,161.8,167.2537,35236870,0.644,3.10%,21.434,N/A,N/A
15/10/2007,167.98,169.57,163.5,166.98,38449042,-0.035,-0.16%,21.3989,N/A,N/A
16/10/2007,165.54,170.18,165.15,169.58,37913720,0.333,1.56%,21.7321,N/A,N/A
17/10/2007,172.69,173.04,169.18,172.75,40038453,0.406,1.87%,22.1383,N/A,N/A
18/10/2007,171.5,174.19,171.05,173.5,29256234,0.096,0.43%,22.2344,N/A,N/A
19/10/2007,174.24,174.63,170,170.42,46047582,-0.395,-1.78%,21.8397,N/A,N/A
22/10/2007,170.35,174.9,169.9601,174.36,55110593,0.505,2.31%,22.3446,N/A,N/A
23/10/2007,188.56,188.6,182.76,186.16,63967251,1.512,6.77%,23.8568,N/A,N/A
24/10/2007,185.81,187.21,179.24,185.93,45909736,-0.029,-0.12%,23.8274,N/A,N/A
25/10/2007,184.87,185.9,181.66,182.78,34663592,-0.404,-1.69%,23.4237,N/A,N/A
26/10/2007,185.29,185.37,182.88,184.7,25216930,0.246,1.05%,23.6697,N/A,N/A
29/10/2007,185.7,186.59,184.7,185.09,19276312,0.05,0.21%,23.7197,N/A,N/A
30/10/2007,186.18,189.37,184.73,187,33477588,0.245,1.03%,23.9645,N/A,N/A
31/10/2007,187.63,190.12,184.95,189.95,29487833,0.378,1.58%,24.3425,N/A,N/A
01/11/2007,188.6,190.1,180,187.44,28621877,-0.322,-1.32%,24.0209,N/A,N/A
02/11/2007,189.21,189.44,183.49,187.87,35762765,0.055,0.23%,24.076,N/A,N/A
05/11/2007,185.29,188.96,184.24,186.18,28684717,-0.217,-0.90%,23.8594,N/A,N/A
06/11/2007,187.05,192,185.27,191.79,34048530,0.719,3.01%,24.5783,N/A,N/A
07/11/2007,190.61,192.68,186.13,186.2999,35373771,-0.704,-2.86%,23.8748,N/A,N/A
08/11/2007,186.67,186.9,167.77,175.4663,67413147,-1.388,-5.82%,22.4864,N/A,N/A
09/11/2007,171.15,175.12,165.21,165.37,54417246,-1.294,-5.75%,21.1926,N/A,N/A
12/11/2007,165.28,167.7,150.63,153.76,63029153,-1.488,-7.02%,19.7047,N/A,N/A
13/11/2007,160.85,170.98,153.76,169.96,62024914,2.076,10.54%,21.7808,N/A,N/A
14/11/2007,177.16,177.57,163.74,166.11,51656762,-0.493,-2.27%,21.2874,N/A,N/A
15/11/2007,166.39,169.59,160.3,164.3,52797096,-0.232,-1.09%,21.0554,N/A,N/A
16/11/2007,165.3,167.02,159.33,166.39,49355392,0.268,1.27%,21.3233,N/A,N/A
19/11/2007,166.1,168.2,162.1,163.95,41175060,-0.313,-1.47%,21.0106,N/A,N/A
20/11/2007,165.67,171.79,163.53,168.85,55046752,0.628,2.99%,21.6385,N/A,N/A
21/11/2007,165.84,172.35,164.67,168.46,43471809,-0.05,-0.23%,21.5885,N/A,N/A
23/11/2007,172,172.05,169.75,171.54,16623955,0.395,1.83%,21.9833,N/A,N/A
26/11/2007,173.59,177.2699,172.35,172.5419,46612507,0.128,0.58%,22.1117,N/A,N/A
27/11/2007,175.22,175.79,170.01,174.81,46979276,0.291,1.31%,22.4023,N/A,N/A
28/11/2007,176.82,180.6,175.35,180.22,40896021,0.693,3.09%,23.0956,N/A,N/A
29/11/2007,179.43,185.17,179.15,184.29,37533058,0.522,2.26%,23.6172,N/A,N/A
30/11/2007,187.34,187.7,179.7,182.22,42421483,-0.265,-1.12%,23.3519,N/A,N/A
03/12/2007,181.86,184.14,177.7,178.86,34338178,-0.431,-1.84%,22.9213,N/A,N/A
04/12/2007,177.15,180.9,176.99,179.81,27635681,0.122,0.53%,23.0431,N/A,N/A
05/12/2007,182.89,186,182.41,185.5,31871473,0.729,3.16%,23.7723,N/A,N/A
06/12/2007,186.19,190.1,186.12,189.9528,32159573,0.571,2.40%,24.3429,N/A,N/A
07/12/2007,190.54,194.99,188.04,194.3,38073707,0.557,2.29%,24.9,N/A,N/A
10/12/2007,193.59,195.66,192.69,194.21,25799130,-0.012,-0.05%,24.8885,N/A,N/A
11/12/2007,194.75,196.83,187.39,188.5404,39675869,-0.727,-2.92%,24.1619,N/A,N/A
12/12/2007,193.44,194.48,185.76,190.86,43773562,0.297,1.23%,24.4592,N/A,N/A
13/12/2007,190.19,192.12,187.82,191.83,30925621,0.124,0.51%,24.5835,N/A,N/A
14/12/2007,190.37,200,189.54,190.39,24092389,-0.185,-0.75%,24.3989,N/A,N/A
17/12/2007,190.72,192.65,182.98,184.4,36596134,-0.768,-3.15%,23.6313,N/A,N/A
18/12/2007,186.52,187.33,178.6,182.98,43664353,-0.182,-0.77%,23.4493,N/A,N/A
19/12/2007,182.98,184.6394,180.9,183.12,29552784,0.018,0.08%,23.4673,N/A,N/A
20/12/2007,185.43,187.83,183.33,187.21,27644803,0.524,2.23%,23.9914,N/A,N/A
21/12/2007,190.12,193.9125,189.89,193.91,35544882,0.859,3.58%,24.85,N/A,N/A
24/12/2007,195.03,199.33,194.79,198.8,17152410,0.627,2.52%,25.4767,N/A,N/A
26/12/2007,199.01,200.96,196.82,198.95,25133289,0.019,0.08%,25.4959,N/A,N/A
27/12/2007,198.95,202.96,197.8,198.57,28411624,-0.049,-0.19%,25.4472,N/A,N/A
28/12/2007,200.59,201.56,196.8801,199.83,24987398,0.161,0.63%,25.6087,N/A,N/A
31/12/2007,199.5,200.5,197.75,198.08,19261842,-0.224,-0.88%,25.3844,N/A,N/A
02/01/2008,199.27,200.26,192.55,194.84,38542020,-0.415,-1.64%,24.9692,N/A,N/A
03/01/2008,195.41,197.39,192.69,194.93,30073780,0.012,0.05%,24.9807,N/A,N/A
04/01/2008,191.45,193,178.89,180.05,51993904,-1.907,-7.63%,23.0738,N/A,N/A
07/01/2008,181.25,183.6,170.23,177.64,74006846,-0.309,-1.34%,22.765,N/A,N/A
08/01/2008,180.14,182.46,170.8,171.25,54421984,-0.819,-3.60%,21.9461,N/A,N/A
09/01/2008,171.3,179.5,168.3,179.4,64840673,1.044,4.76%,22.9905,N/A,N/A
10/01/2008,177.58,181,175.41,178.02,52963350,-0.177,-0.77%,22.8137,N/A,N/A
11/01/2008,176,177.85,170,172.69,44010111,-0.683,-2.99%,22.1306,N/A,N/A
14/01/2008,177.52,179.42,175.17,178.78,39301774,0.78,3.53%,22.9111,N/A,N/A
15/01/2008,177.72,179.22,164.66,169.04,83937922,-1.248,-5.45%,21.6629,N/A,N/A
16/01/2008,165.23,169.01,156.7,159.64,79191989,-1.205,-5.56%,20.4582,N/A,N/A
17/01/2008,161.51,165.36,158.42,160.89,62853413,0.16,0.78%,20.6184,N/A,N/A
18/01/2008,161.71,165.75,159.61,161.36,61583651,0.06,0.29%,20.6787,N/A,N/A
22/01/2008,148.06,159.98,146,155.64,86963480,-0.733,-3.54%,19.9456,N/A,N/A
23/01/2008,136.19,140,126.14,139.072,120466292,-2.123,-10.65%,17.8224,N/A,N/A
24/01/2008,139.99,140.7,132.01,135.6,71638013,-0.445,-2.50%,17.3775,N/A,N/A
25/01/2008,138.99,139.09,129.61,130.01,55526314,-0.716,-4.12%,16.6611,N/A,N/A
28/01/2008,128.16,133.2,126.45,130.01,52672974,0,0.00%,16.6611,N/A,N/A
29/01/2008,131.15,132.79,129.05,131.54,39285086,0.196,1.18%,16.8572,N/A,N/A
30/01/2008,131.37,135.45,130,132.18,44394619,0.082,0.49%,16.9392,N/A,N/A
31/01/2008,129.45,136.65,129.4,135.36,48059713,0.408,2.41%,17.3467,N/A,N/A
01/02/2008,136.24,136.59,132.18,133.75,36097982,-0.206,-1.19%,17.1404,N/A,N/A
04/02/2008,134.21,135.9,131.42,131.65,32115481,-0.269,-1.57%,16.8713,N/A,N/A
05/02/2008,130.43,134,128.9,129.36,40751491,-0.293,-1.74%,16.5778,N/A,N/A
06/02/2008,130.83,131.92,121.77,122,56188205,-0.943,-5.69%,15.6346,N/A,N/A
07/02/2008,119.97,124.78,117.27,121.24,74450275,-0.097,-0.62%,15.5372,N/A,N/A
08/02/2008,122.08,125.7,121.6,125.48,48427520,0.543,3.50%,16.0806,N/A,N/A
11/02/2008,128.01,129.98,127.2,129.45,42908217,0.509,3.16%,16.5893,N/A,N/A
12/02/2008,130.7,131,123.62,124.86,43784943,-0.588,-3.55%,16.0011,N/A,N/A
13/02/2008,126.68,129.78,125.63,129.4,34590469,0.582,3.64%,16.5829,N/A,N/A
14/02/2008,129.4,130.8,127.01,127.46,34080728,-0.249,-1.50%,16.3343,N/A,N/A
15/02/2008,126.27,127.08,124.06,124.63,32189246,-0.363,-2.22%,15.9716,N/A,N/A
19/02/2008,125.99,126.75,121.44,122.18,35894478,-0.314,-1.97%,15.6577,N/A,N/A
20/02/2008,122.2,124.6,121.68,123.82,34551356,0.21,1.34%,15.8678,N/A,N/A
21/02/2008,126.05,126.47,120.86,121.54,33504078,-0.292,-1.84%,15.5756,N/A,N/A
22/02/2008,122.48,122.51,115.87,119.46,54638437,-0.267,-1.71%,15.3091,N/A,N/A
25/02/2008,118.59,120.17,116.664,119.74,44832874,0.036,0.23%,15.345,N/A,N/A
